"merge","filename.x","TYPE","BOX_AND_CODE","STATE","fullest_code","type_branch","rep","cluster","Region","zip_code","combined","otu_count"
"197-E10b","Vicky1-c3-197-E10B.mzXML","isolate","197-E10","UT","Vicky1-c3-197-E10B","branch_y","b","clu6_3","Southwest",84758,"clu6_3-branch_y",618
"199-A7a","Vicky1-b7-199-A7A.mzXML","isolate","199-A7","AZ","Vicky1-b7-199-A7A","branch_u","a","clu6_1","Southwest",85280,"clu6_1-branch_u",438
"199-A7b","Vicky1-b7-199-A7B.mzXML","isolate","199-A7","AZ","Vicky1-b7-199-A7B","branch_u","b","clu6_1","Southwest",85280,"clu6_1-branch_u",308
"200-A5a","Vicky1-c5-200-A5A.mzXML","isolate","200-A5","AK","Vicky1-c5-200-A5A","branch_y","a","clu6_3","Alaska",99824,"clu6_3-branch_y",717
"200-A5b","Vicky1-c5-200-A5B.mzXML","isolate","200-A5","AK","Vicky1-c5-200-A5B","branch_y","b","clu6_3","Alaska",99824,"clu6_3-branch_y",485
"201-B8a","Vicky3-b11-201-B8A.mzXML","isolate","201-B8","CA","Vicky3-b11-201-B8A","branch_u","a","clu6_2","West",92887,"clu6_2-branch_u",1132
"201-B8b","Vicky3-b11-201-B8B.mzXML","isolate","201-B8","CA","Vicky3-b11-201-B8B","branch_u","b","clu6_1","West",92887,"clu6_1-branch_u",433
"201-E4a","Vicky1-b8-201-E4A.mzXML","isolate","201-E4","FL","Vicky1-b8-201-E4A","branch_u","a","clu6_1","Southeast",33993,"clu6_1-branch_u",572
"201-E4b","Vicky1-b8-201-E4B.mzXML","isolate","201-E4","FL","Vicky1-b8-201-E4B","branch_u","b","clu6_1","Southeast",33993,"clu6_1-branch_u",596
"236-G1a","Vicky1-d11-236-G1A.mzXML","isolate","236-G1","OR","Vicky1-d11-236-G1A","branch_y","a","clu6_3","Northwest",97498,"clu6_3-branch_y",643
"236-G1b","Vicky1-d11-236-G1B.mzXML","isolate","236-G1","OR","Vicky1-d11-236-G1B","branch_y","b","clu6_3","Northwest",97498,"clu6_3-branch_y",284
"238-B1a","Vicky2-c5-238-B1A.mzXML","isolate","238-B1","CO","Vicky2-c5-238-B1A","branch_u","a","clu6_1","Southwest",80447,"clu6_1-branch_u",564
"238-B1b","Vicky2-c5-238-B1B.mzXML","isolate","238-B1","CO","Vicky2-c5-238-B1B","branch_u","b","clu6_1","Southwest",80447,"clu6_1-branch_u",460
"239-D10a","Vicky1-e5-239-D10A.mzXML","isolate","239-D10","TX","Vicky1-e5-239-D10A","branch_u","a","clu6_1","South",78734,"clu6_1-branch_u",409
"239-D10b","Vicky1-e5-239-D10B.mzXML","isolate","239-D10","TX","Vicky1-e5-239-D10B","branch_u","b","clu6_1","South",78734,"clu6_1-branch_u",324
"239-D12a","Vicky1-b4-239-D12A.mzXML","isolate","239-D12","TX","Vicky1-b4-239-D12A","branch_u","a","clu6_1","South",78734,"clu6_1-branch_u",373
